StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q6,Q7,Q8,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q14,Q16,Q17,Q18,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q21_1,Q22_1,Q23_1,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q26_1,Q27_1,Q28_1,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q31_1,Q32_1,Q33_1,Q34_1,Q35_1,Q36_1,Q37_1,Q38_1,Q39_1,Q40,Q41,Q42,Q43,Q44_First Click,Q44_Last Click,Q44_Page Submit,Q44_Click Count,Q46_1,Q47_1,Q48_1,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,Q50,Q50_3_TEXT,Q51,Q52,Q53_First Click,Q53_Last Click,Q53_Page Submit,Q53_Click Count,Q55,Q56,Q57,Q58,Q59,Q63_First Click,Q63_Last Click,Q63_Page Submit,Q63_Click Count,Random ID,ID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Privacy and data treatment: Your information is anonymous. No one will link the data you provided to the identifying information you supplied (e.g., name, address, email).



Data will be securely stored at the University’s servers for the duration of the project. 



Your decision of allowing us to use your data or not will have no consequences on your marking, feedback or performance in the course.



While this activity may involve answering some questions about yourself, these questions are designed so that they do not allow us to identify you.



In case where the data is presented at conferences or published in academic journals, participants will not be identified. Please note that while Dr. Jordana Viotto da Cruz, the course organiser for Digital Business is in the research team, the survey will be coordinated by Prof. Raluca Bunduchi, who is not involved in teaching UG students in the Business School.



Data will be handled by research assistants.



Questions: If you have any questions as a result of reading this information sheet, please email Prof. Raluca Bunduchi at raluca.bunduchi@ed.ac.uk. If you allow the use of your data and change your mind later, you can request we withdraw your data from the study without any explanation. You just have to email Prof. Raluca Bunduchi.

Before proceeding, please make sure that you understand the following points.","Are you ok that we the use of your anonymised activity in the study?



Reminders:

	Participants will get a £10 shopping voucher. 
	All students will perform the activity.
	Information is anonymised. 
	Your activity is not marked.

	Your decision does not affect your performance in the course.You can change your mind later.","Is it ok if we contact you in the following weeks to provide more information about how to volunteer for the interviews? (Your email will be given in a different form, to maintain your privacy.)



Reminders:

 Participants will get a £20 shopping voucher. 
 Interviews are informal chats with a student. 
 Information is anonymised. You can change your mind later.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Choose the option that best describes you.,Choose the option that best describes your parents.,What programme are you in?,"Before ""Digital Business"", how many entrepreneurship courses did you attend at the University of Edinburgh (or at your home university if you are an exchange student)?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Select the answer that best describes how you perceive yourself. - I feel that I am good at generating novel ideas.,Select the answer that best describes how you perceive yourself. - I have confidence in my ability to solve problems creatively.,Select the answer that best describes how you perceive yourself. - I have a talent for improving the ideas of others.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Select the answer that best describes you. - If I heard about a new information technology, I would look for ways to experiment with it.","Select the answer that best describes you. - Among my friends, I am usually the first to try out new information technologies.",Select the answer that best describes you. - I like to experiment with new information technologies.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Select the answer that best describes how you feel. - I believe that Generative AI tools perform satisfactorily.,Select the answer that best describes how you feel. - I believe that Generative AI tools are necessary.,Select the answer that best describes how you feel. - I believe that Generative AI tools provide an essential function.,Select the answer that best describes how you feel. - I believe that the use of Generative AI tools benefits users.,Select the answer that best describes how you feel. - It is difficult to imagine now a world in which Generative AI tools did not exist.,Select the answer that best describes how you feel. - I believe that Generative AI tools are consistent with broader industry and social norms.,Select the answer that best describes how you feel. - The general public would approve of the use of Generative AI tools.,Select the answer that best describes how you feel. - The way Generative AI tools function serve the interests of users.,Select the answer that best describes how you feel. - Most people would consider the use of Generative AI tools to be ethical and moral.,"On average, I use Generative AI... (Pick the most accurate answer).",How often do you use generative AI tools for social activities like organising a trip or planning activities for the weekend?,"How often do you use generative AI tools for professional activities like writing a job application, polishing your CV, or requesting a recommendation letter?","How often do you use generative AI tools for university-related activities like brainstorming ideas for an essay, summarising an article, or understanding a concept?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Select the answer that best describes how you perceive yourself. 

1 = not at all true of me / 7 = very true of me - I’m confident I can do an excellent job on the assignments and tests in this course.","Select the answer that best describes how you perceive yourself. 

1 = not at all true of me / 7 = very true of me - I expect to do well in this course.","Select the answer that best describes how you perceive yourself.

1 = not at all true of me / 7 = very true of me - I’m certain I can master the skills being taught in this course.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you describe your gender? - Selected Choice,How would you describe your gender? - In another way (please include below) - Text,What is your age?,List of Countries,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"1. Type the first letter of your first name.

For instance, if your name was Terry, you would write T. 

Use CAPITAL LETTER.","2. Type the first letter of the city or town where you were born. 

For instance, if you were born in Edinburgh, you would write E. 

Use CAPITAL LETTER.","3. Type the day of your birthday in the 2-digit format. 

For instance, if your birthday is the 8th of January, you would write 08.","4. Type the first letter of your mother's first name. 

For instance, if your mother's first name is Mary, you would write M. 

Use CAPITAL LETTER.","5. Type the first letter of the month in which you were born.

For instance, if you were born in September, you would write S. 

Use CAPITAL LETTER.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Random ID,ID
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID41""}","{""ImportId"":""QID107""}","{""ImportId"":""QID105""}","{""ImportId"":""QID69_FIRST_CLICK""}","{""ImportId"":""QID69_LAST_CLICK""}","{""ImportId"":""QID69_PAGE_SUBMIT""}","{""ImportId"":""QID69_CLICK_COUNT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID99_2""}","{""ImportId"":""QID100_2""}","{""ImportId"":""QID92_FIRST_CLICK""}","{""ImportId"":""QID92_LAST_CLICK""}","{""ImportId"":""QID92_PAGE_SUBMIT""}","{""ImportId"":""QID92_CLICK_COUNT""}","{""ImportId"":""QID98_2""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID72_FIRST_CLICK""}","{""ImportId"":""QID72_LAST_CLICK""}","{""ImportId"":""QID72_PAGE_SUBMIT""}","{""ImportId"":""QID72_CLICK_COUNT""}","{""ImportId"":""QID50_9""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID26_6""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID27_8""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID79_5""}","{""ImportId"":""QID14""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID74_FIRST_CLICK""}","{""ImportId"":""QID74_LAST_CLICK""}","{""ImportId"":""QID74_PAGE_SUBMIT""}","{""ImportId"":""QID74_CLICK_COUNT""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID64_2""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID86""}","{""ImportId"":""QID77_FIRST_CLICK""}","{""ImportId"":""QID77_LAST_CLICK""}","{""ImportId"":""QID77_PAGE_SUBMIT""}","{""ImportId"":""QID77_CLICK_COUNT""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""Random ID""}","{""ImportId"":""ID""}"
2024-01-30 12:44:59,2024-01-30 12:47:39,Survey Preview,100,160,True,2024-01-30 12:47:41,R_6Ba2a5Kx2HIxpYt,preview,EN,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",,,0,0,19.375,0,,,,,0,0,1.046,0,,,,0,0,1.282,0,,,,0,0,1.92,0,,,,,,,,,,,,,,0,0,1.346,0,,,,0,0,2.597,0,,,,,,,,,,,,,,10.991,10.991,43.287,1,87547,
2024-01-30 12:48:57,2024-01-30 12:50:42,Survey Preview,100,105,True,2024-01-30 12:50:44,R_67LME5a0Ge7jUcx,preview,EN,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",I am ok with the use of my anonymised activity in the study.,,0,0,1.488,0,,,,,0,0,0.87,0,,,,0,0,1.441,0,,,,0,0,1.177,0,,,,,,,,,,,,,,0,0,0.7,0,,,,0,0,0.92,0,,,,,,,,,,,,,,9.013,9.013,21.775,1,66223,
2024-01-30 12:51:20,2024-01-30 12:53:48,Survey Preview,100,147,True,2024-01-30 12:53:49,R_6ncnStf0srhyTDV,preview,EN,,I am ok with the use of my anonymised activity in the study.,"It is ok to contact me for interviews. ",,,,,,,,,0,0,1.222,0,,,,0,0,1.465,0,,,,0,0,1.398,0,,,,,,,,,,,,,,0,0,1.315,0,,,,0,0,0.849,0,,,,,,,,,,,,,,47.645,47.645,60.144,1,57270,
2024-01-30 13:59:02,2024-01-30 14:04:15,Survey Preview,100,313,True,2024-01-30 14:04:16,R_6QilJEgxa2chkgo,preview,EN,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",I am ok with the use of my anonymised activity in the study.,"It is ok to contact me for interviews. ",,,,,I have experience as a self-employed person.,None of the above.,"I am an exchange student, and I do not study business in my home university.",2,1.913,1.913,3.16,1,Mostly agree,Mostly agree,Mostly agree,2.381,2.381,3.19,1,Mostly agree,Slightly disagree,Slightly disagree,3.253,3.253,4.309,1,Slightly agree,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,"I have heard of, but never used any form of Generative AI.",I have never used Generative AI for this type of purpose.,I have never used Generative AI for this type of purpose.,I have used Generative AI occasionally for this type of purpose.,2.005,2.005,3.434,1,4,5,4,5.184,5.184,6.054,1,Female,,28,Azerbaijan,,,,,4,r,rr,q,r,9.056,9.056,35.449,1,86136,
2024-01-30 19:11:00,2024-01-30 19:13:09,Survey Preview,100,128,True,2024-01-30 19:13:11,R_68HjF6omzIlxPhf,preview,EN,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",I am ok with the use of my anonymised activity in the study.,"It is ok to contact me for interviews. ",,,,,,,,,0,0,0.767,0,,,,0.318,0.318,1.326,1,,,,0,0,1.119,0,,,,,,,,,,,,,,0,0,1.061,0,,,,0,0,1.844,0,,,,,,,,,,,,,,9.888,9.888,16.715,1,89211,
2024-01-30 19:13:17,2024-01-30 19:15:06,Survey Preview,100,109,True,2024-01-30 19:15:08,R_6PgA2xgr6FaqKSL,preview,EN,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",I am ok with the use of my anonymised activity in the study.,I do not want to be contacted.,0,0,1.679,0,,,,,0,0,0.886,0,,,,1.005,1.005,1.483,1,,,,0,0,1.469,0,,,,,,,,,,,,,,0,0,1.368,0,,,,0,0,1.233,0,,,,,,,,,,,,,,0,0,1.62,0,10501,
2024-01-30 19:15:20,2024-01-30 19:17:45,Survey Preview,100,145,True,2024-01-30 19:17:47,R_6oiOUtSI8pNatyN,preview,EN,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",I am ok with the use of my anonymised activity in the study.,I do not want to be contacted.,0,0,2.193,0,,,,,0,0,0.945,0,,,,0,0,1.314,0,,,,0,0,1.773,0,,,,,,,,,,,,,,0,0,1.473,0,,,,0,0,1.215,0,,,,,,,,,,,,,,6.172,6.172,30.074,1,39712,
2024-01-30 19:17:59,2024-01-30 19:19:41,Survey Preview,100,101,True,2024-01-30 19:19:42,R_6uYsQFnTuhfaqU9,preview,EN,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",Do not use my anonymised activity in the study.,,0,0,4.77,0,,,,,0,0,0.951,0,,,,0,0,1.463,0,,,,0,0,1.243,0,,,,,,,,,,,,,,0,0,1.477,0,,,,0,0,1.255,0,,,,,,,,,,,,,,,,,,85733,
