userid,start_date_s,end_date_s,status_s,progress_s,duration_s_s,finished_s,recorded_date_s,response_id_s,distribution_channel,user_language,id_1_s,id_2_s,id_3_s,id_4_s,id_5_s,participinfo,consent,q12_first_click,q12_last_click,q12_page_submit,q12_click_count,entexp,entxn,entxb,xposent,xposen,xposeb,prog,programme,q18,q19_first_click,q19_last_click,q19_page_submit,q19_click_count,cse1,cse2,cse3,creativese,q24_first_click,q24_last_click,q24_page_submit,q24_click_count,pinno1,pinno2,pinno3,persinno,q29_first_click,q29_last_click,q29_page_submit,q29_click_count,pl1,cl1,cl2,pl2,cl3,ml1,ml2,pl3,ml3,pl,cl,ml,frequse,frequentuser,useplan,useprof,useacad,usecontext,q44_first_click,q44_last_click,q44_page_submit,q44_click_count,se1,se2,se3,selfefficacy,q49_first_click,q49_last_click,q49_page_submit,q49_click_count,gender,q50_3_text,ageoriginal,hscountry,country_n,country_group,uk,q53_first_click,q53_last_click,q53_page_submit,q53_click_count,q63_first_click,q63_last_click,q63_page_submit,q63_click_count,random_id,id
ab15sj,2024-01-31T11:27:56Z,2024-01-31T11:36:33Z,IP Address,100,517,TRUE,2024-01-31T11:36:34Z,R_6wgGv7HnJIJvV6y,anonymous,EN,a,b,15,s,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,6.071,9.928,22.634,4,6,6,6,6,4.485,4.485,5.29,1,3,3,2,2.6666666666666665,2.381,2.381,3.325,1,5,4,5,6,3,4,3,5,2,5.333333333333333,4,3,Several times each week.,frequent generative AI user,2,1,2,1.6666666666666667,4.81,4.81,8.337,1,6,7,6,6.333333333333333,3.122,3.122,4.213,1,Female,NA,22,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,10.579,10.579,59.024,1,86588,NA
ac08kj,2024-01-31T11:29:32Z,2024-01-31T14:40:15Z,IP Address,94,11442,FALSE,2024-02-07T14:40:17Z,R_89ttxgZct2Oklh3,anonymous,EN,a,c,08,k,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,8.943,8.943,9.968,1,5,6,5,5.333333333333333,5.439,5.439,6.196,1,5,4,5,4.666666666666667,3.55,3.55,4.498,1,6,6,6,6,5,6,6,6,6,6,5.666666666666667,6,Several times each week.,frequent generative AI user,3,2,2,2.3333333333333335,2.439,2.439,4.701,1,6,6,6,6,3.394,3.394,4.07,1,Female,NA,22,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,NA,NA,NA,NA,55303,NA
ac14ld,2024-01-31T11:27:50Z,2024-01-31T11:36:32Z,IP Address,100,521,TRUE,2024-01-31T11:36:32Z,R_6xzrInfVYEoVYXE,anonymous,EN,a,c,14,l,d,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,None of the above.,0,0,"I am an exchange student, but I study business in my home university.",Another programme with a business component,2,12.659,12.659,17.649,1,5,6,5,5.333333333333333,4.393,4.393,5.7,1,3,2,5,3.3333333333333335,3.792,3.792,5.046,1,6,5,3,6,2,6,5,6,7,6,3.3333333333333335,6,About once a month.,0,3,3,2,2.6666666666666665,6.101,6.101,7.041,1,6,6,6,6,2.588,2.588,3.442,1,Male,NA,22,United States,6,United States,0,NA,NA,NA,NA,0,0,60.751,0,52589,NA
ad10sd,2024-01-31T11:29:34Z,2024-01-31T11:38:18Z,IP Address,100,524,TRUE,2024-01-31T11:38:19Z,R_3OpLALd09Y1ZiwK,anonymous,EN,a,d,10,s,d,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,None of the above.,0,0,A programme at the Business School.,Business programme at the business school,0,7.293,7.293,9.01,1,4,5,5,4.666666666666667,4.164,6.356,7.667,2,4,5,4,4.333333333333333,3.54,3.54,4.362,1,6,6,7,7,5,6,5,7,4,6.666666666666667,6,5,Several times each week.,frequent generative AI user,2,2,1,1.6666666666666667,3.697,6.609,8.513,2,4,4,4,4,7.146,7.146,8.133,1,Male,NA,25,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,0,0,39.614,0,41037,NA
ad13hj,2024-01-31T11:27:05Z,2024-01-31T11:37:43Z,IP Address,100,637,TRUE,2024-01-31T11:37:44Z,R_6JEOiIJbxfXEssH,anonymous,EN,a,d,13,h,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,0.965,15.306,15.32,5,5,7,5,5.666666666666667,4.656,4.656,6.772,1,7,5,6,6,4.4,4.4,4.91,1,6,5,5,6,6,3,6,6,3,6,5.333333333333333,4,Several times each week.,frequent generative AI user,3,2,1,2,5.667,5.667,6.58,1,6,6,5,5.666666666666667,3.056,3.056,3.618,1,Female,NA,23,Viet Nam,1,East Asia & Pacific,0,NA,NA,NA,NA,2.161,36.48,36.737,2,52582,NA
ae04hf,2024-01-31T11:44:40Z,2024-01-31T11:50:28Z,IP Address,100,348,TRUE,2024-01-31T11:50:29Z,R_7C6UmaCMyiXKo2B,anonymous,EN,a,e,04,h,f,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,14.291,14.291,15.876,1,7,6,5,6,2.874,2.874,3.852,1,7,6,7,6.666666666666667,1.693,1.693,2.47,1,7,7,7,7,5,7,6,7,5,7,6.333333333333333,6,Several times each week.,frequent generative AI user,2,1,1,1.3333333333333333,2.941,2.941,4.35,1,7,7,7,7,1.598,1.598,2.441,1,Female,NA,21,China,95,China,0,NA,NA,NA,NA,6.423,6.423,30.185,1,77995,NA
aj18mj,2024-03-08T14:30:05Z,2024-03-08T14:43:48Z,IP Address,100,822,TRUE,2024-03-08T14:43:49Z,R_794c1cCYLAu1VSj,anonymous,EN,a,j,18,m,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,14.701,14.701,26.343,1,4,5,6,5,7.371,7.371,10.676,1,6,6,6,6,2.878,2.878,4.423,1,6,6,6,6,4,6,6,6,5,6,5.333333333333333,5.666666666666667,Several times each week.,frequent generative AI user,2,1,1,1.3333333333333333,3.271,3.271,5.695,1,5,6,5,5.333333333333333,4.48,4.48,5.127,1,Male,NA,31,Indonesia,2,East Asia & Pacific,0,NA,NA,NA,NA,16.699,16.699,45.51,1,10852,NA
an24mn,2024-03-08T14:29:37Z,2024-03-08T14:38:43Z,IP Address,100,545,TRUE,2024-03-08T14:38:43Z,R_81FxeDrc2hLJkGp,anonymous,EN,a,n,24,m,n,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,None of the above.,0,0,A programme at the Business School.,Business programme at the business school,2,19.19,20.485,40.386,2,5,5,6,5.333333333333333,2.591,3.341,3.6,2,5,5,5,5,2.125,3.57,4.001,2,4,4,4,5,2,4,3,3,3,4,3.3333333333333335,3.3333333333333335,About once a month.,0,3,3,2,2.6666666666666665,1.275,2.082,5.65,2,5,4,4,4.333333333333333,4.514,4.812,5.4,2,Male,NA,24,Cyprus,1,Europe & Central Asia,0,NA,NA,NA,NA,5.874,6.763,46.266,2,48064,NA
as08im,2024-01-31T11:29:10Z,2024-01-31T11:35:18Z,IP Address,100,367,TRUE,2024-01-31T11:35:18Z,R_8YmmeGvLf7JA7Lc,anonymous,EN,a,s,08,i,m,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a business owner.,entrepreneurial experience – narrower,entrepreneurial experience –broader,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,"I am an exchange student, but I study business in my home university.",Another programme with a business component,1,4.233,7.972,9.431,2,6,6,7,6.333333333333333,5.892,5.892,6.408,1,7,7,7,7,2.673,2.673,3.236,1,6,7,7,7,6,6,3,6,3,6.333333333333333,6.666666666666667,4,About once each week.,0,1,1,2,1.3333333333333333,2.754,2.754,3.542,1,5,6,5,5.333333333333333,4.651,4.651,5.277,1,Male,NA,20,Australia,3,East Asia & Pacific,0,NA,NA,NA,NA,7.285,7.285,68.02,1,72856,NA
as24la,2024-02-02T09:30:11Z,2024-02-02T09:48:58Z,IP Address,100,1126,TRUE,2024-02-02T09:48:59Z,R_4NEfBltLqV0K5wB,anonymous,EN,a,s,24,l,a,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,4.987,0,None of the above.,0,0,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,66.779,66.779,67.779,1,5,5,4,4.666666666666667,10.441,10.441,23.543,1,4,3,4,3.6666666666666665,70.56,70.56,71.871,1,5,3,4,5,5,4,3,6,4,5.333333333333333,4,3.6666666666666665,About once a month.,0,2,3,2,2.3333333333333335,17.179,17.179,18.98,1,4,4,4,4,4.334,9.126,10.158,2,Female,NA,21,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,11.408,11.408,67.143,1,25801,NA
